Date;Open;High;Low;Close;Adj Close;Volume
27/11/2023;95.000.000;96.000.000;94.000.000;94.000.000;94.000.000;1355939800
24/11/2023;94.000.000;96.000.000;93.000.000;94.000.000;94.000.000;4614062100
23/11/2023;88.000.000;94.000.000;87.000.000;94.000.000;94.000.000;9123547000
22/11/2023;88.000.000;89.000.000;82.000.000;84.000.000;84.000.000;6607513200
21/11/2023;90.000.000;92.000.000;87.000.000;88.000.000;88.000.000;5198685700
20/11/2023;85.000.000;89.000.000;85.000.000;89.000.000;89.000.000;4394326900
17/11/2023;86.000.000;88.000.000;84.000.000;84.000.000;84.000.000;2981278100
16/11/2023;86.000.000;87.000.000;84.000.000;86.000.000;86.000.000;2298431700
15/11/2023;84.000.000;87.000.000;83.000.000;86.000.000;86.000.000;6644867700
14/11/2023;78.000.000;82.000.000;76.000.000;81.000.000;81.000.000;5498986700
13/11/2023;77.000.000;83.000.000;76.000.000;79.000.000;79.000.000;9298881400
10/11/2023;75.000.000;78.000.000;74.000.000;76.000.000;76.000.000;3357085400
09/11/2023;75.000.000;76.000.000;74.000.000;75.000.000;75.000.000;1518268000
08/11/2023;77.000.000;77.000.000;73.000.000;76.000.000;76.000.000;3477038100
07/11/2023;78.000.000;78.000.000;73.000.000;77.000.000;77.000.000;4504171300
06/11/2023;71.000.000;77.000.000;67.000.000;76.000.000;76.000.000;11609322800
03/11/2023;73.000.000;78.000.000;69.000.000;70.000.000;70.000.000;12357064800
02/11/2023;64.000.000;72.000.000;63.000.000;71.000.000;71.000.000;9289070300
01/11/2023;61.000.000;64.000.000;60.000.000;62.000.000;62.000.000;5268048300
31/10/2023;56.000.000;62.000.000;55.000.000;60.000.000;60.000.000;6189908200
30/10/2023;56.000.000;58.000.000;55.000.000;56.000.000;56.000.000;3227537700
27/10/2023;56.000.000;58.000.000;55.000.000;56.000.000;56.000.000;4221228800
26/10/2023;60.000.000;60.000.000;56.000.000;57.000.000;57.000.000;4355604000
25/10/2023;63.000.000;64.000.000;60.000.000;60.000.000;60.000.000;2333212100
24/10/2023;64.000.000;66.000.000;63.000.000;63.000.000;63.000.000;2156764800
23/10/2023;61.000.000;65.000.000;61.000.000;63.000.000;63.000.000;4144242600
20/10/2023;61.000.000;62.000.000;58.000.000;60.000.000;60.000.000;5213928100
19/10/2023;63.000.000;66.000.000;62.000.000;64.000.000;64.000.000;3617021300
18/10/2023;65.000.000;66.000.000;62.000.000;63.000.000;63.000.000;3065112200
17/10/2023;67.000.000;69.000.000;61.000.000;65.000.000;65.000.000;5588281300
16/10/2023;66.000.000;70.000.000;54.000.000;66.000.000;66.000.000;18896754400
13/10/2023;73.000.000;75.000.000;66.000.000;67.000.000;67.000.000;8916016400
12/10/2023;79.000.000;80.000.000;71.000.000;73.000.000;73.000.000;7212174800
11/10/2023;82.000.000;83.000.000;79.000.000;79.000.000;79.000.000;4908844300
10/10/2023;84.000.000;84.000.000;82.000.000;82.000.000;82.000.000;933401300
09/10/2023;83.000.000;84.000.000;82.000.000;83.000.000;83.000.000;1248266200
06/10/2023;85.000.000;85.000.000;83.000.000;84.000.000;84.000.000;1962597700
05/10/2023;83.000.000;86.000.000;83.000.000;84.000.000;84.000.000;2428232100
04/10/2023;83.000.000;84.000.000;82.000.000;82.000.000;82.000.000;3138177300
03/10/2023;85.000.000;86.000.000;83.000.000;83.000.000;83.000.000;2448384100
02/10/2023;85.000.000;87.000.000;85.000.000;85.000.000;85.000.000;986519300
29/09/2023;85.000.000;87.000.000;84.000.000;85.000.000;85.000.000;2859965800
27/09/2023;87.000.000;88.000.000;85.000.000;86.000.000;86.000.000;2659270500
26/09/2023;91.000.000;92.000.000;87.000.000;87.000.000;87.000.000;5154826100
25/09/2023;88.000.000;89.000.000;87.000.000;87.000.000;87.000.000;1603642100
22/09/2023;88.000.000;90.000.000;87.000.000;87.000.000;87.000.000;1058373800
21/09/2023;90.000.000;91.000.000;87.000.000;88.000.000;88.000.000;1530818800
20/09/2023;90.000.000;93.000.000;90.000.000;90.000.000;90.000.000;1687125100
19/09/2023;91.000.000;92.000.000;90.000.000;90.000.000;90.000.000;550038500
18/09/2023;91.000.000;94.000.000;90.000.000;92.000.000;92.000.000;1348133400
15/09/2023;89.000.000;93.000.000;88.000.000;92.000.000;92.000.000;3597333200
14/09/2023;88.000.000;91.000.000;87.000.000;88.000.000;88.000.000;1489175200
13/09/2023;88.000.000;90.000.000;86.000.000;87.000.000;87.000.000;1593539700
12/09/2023;89.000.000;89.000.000;86.000.000;88.000.000;88.000.000;1606448800
11/09/2023;93.000.000;93.000.000;86.000.000;89.000.000;89.000.000;3471215900
08/09/2023;94.000.000;95.000.000;92.000.000;93.000.000;93.000.000;1383698800
07/09/2023;92.000.000;99.000.000;92.000.000;94.000.000;94.000.000;5148035100
06/09/2023;90.000.000;92.000.000;89.000.000;91.000.000;91.000.000;1162712100
05/09/2023;92.000.000;94.000.000;90.000.000;90.000.000;90.000.000;1187086600
04/09/2023;95.000.000;96.000.000;92.000.000;93.000.000;93.000.000;781467500
01/09/2023;95.000.000;97.000.000;94.000.000;95.000.000;95.000.000;1217262200
31/08/2023;92.000.000;96.000.000;90.000.000;96.000.000;96.000.000;7823385500
30/08/2023;92.000.000;93.000.000;90.000.000;91.000.000;91.000.000;1791810200
29/08/2023;85.000.000;92.000.000;84.000.000;91.000.000;91.000.000;5895349700
28/08/2023;85.000.000;85.000.000;83.000.000;85.000.000;85.000.000;1258556100
25/08/2023;85.000.000;86.000.000;84.000.000;84.000.000;84.000.000;1891515700
24/08/2023;86.000.000;87.000.000;84.000.000;85.000.000;85.000.000;2139426800
23/08/2023;89.000.000;90.000.000;85.000.000;86.000.000;86.000.000;2971228900
22/08/2023;88.000.000;90.000.000;88.000.000;88.000.000;88.000.000;1829490700
21/08/2023;92.000.000;94.000.000;88.000.000;88.000.000;88.000.000;3285717900
18/08/2023;92.000.000;94.000.000;91.000.000;92.000.000;92.000.000;2036158900
16/08/2023;98.000.000;98.000.000;92.000.000;93.000.000;93.000.000;2982317700
15/08/2023;91.000.000;97.000.000;91.000.000;97.000.000;97.000.000;3623598700
14/08/2023;92.000.000;93.000.000;90.000.000;91.000.000;91.000.000;1782689300
11/08/2023;95.000.000;96.000.000;90.000.000;91.000.000;91.000.000;3487818100
10/08/2023;93.000.000;98.000.000;91.000.000;94.000.000;94.000.000;4564040400
09/08/2023;103.000.000;104.000.000;92.000.000;93.000.000;93.000.000;8576395700
08/08/2023;108.000.000;109.000.000;103.000.000;104.000.000;104.000.000;3338224900
07/08/2023;108.000.000;109.000.000;106.000.000;109.000.000;109.000.000;1725214800
04/08/2023;108.000.000;110.000.000;107.000.000;108.000.000;108.000.000;1223271700
03/08/2023;108.000.000;110.000.000;108.000.000;109.000.000;109.000.000;1560053200
02/08/2023;112.000.000;113.000.000;109.000.000;109.000.000;109.000.000;2203219400
01/08/2023;113.000.000;115.000.000;112.000.000;112.000.000;112.000.000;1685088000
31/07/2023;111.000.000;113.000.000;109.000.000;113.000.000;113.000.000;2236846500
28/07/2023;111.000.000;113.000.000;111.000.000;111.000.000;111.000.000;1045859700
27/07/2023;113.000.000;115.000.000;111.000.000;111.000.000;111.000.000;1293790200
26/07/2023;114.000.000;115.000.000;112.000.000;113.000.000;113.000.000;1549526400
25/07/2023;111.000.000;115.000.000;111.000.000;114.000.000;114.000.000;2132764100
24/07/2023;112.000.000;113.000.000;110.000.000;111.000.000;111.000.000;2390622100
21/07/2023;113.000.000;114.000.000;111.000.000;113.000.000;113.000.000;1724153900
20/07/2023;115.000.000;116.000.000;114.000.000;114.000.000;114.000.000;1291403400
18/07/2023;117.000.000;118.000.000;114.000.000;115.000.000;115.000.000;3676308800
17/07/2023;112.000.000;119.000.000;111.000.000;118.000.000;118.000.000;5259739000
14/07/2023;108.000.000;114.000.000;108.000.000;113.000.000;113.000.000;2787282700
13/07/2023;108.000.000;110.000.000;107.000.000;109.000.000;109.000.000;2486433600
12/07/2023;106.000.000;108.000.000;105.000.000;108.000.000;108.000.000;1657452800
11/07/2023;108.000.000;110.000.000;106.000.000;106.000.000;106.000.000;2241201500
10/07/2023;108.000.000;109.000.000;107.000.000;108.000.000;108.000.000;906201900
07/07/2023;111.000.000;112.000.000;108.000.000;108.000.000;108.000.000;1548015500
06/07/2023;108.000.000;112.000.000;108.000.000;112.000.000;112.000.000;1816152500
05/07/2023;109.000.000;110.000.000;107.000.000;109.000.000;109.000.000;1323145400
